id;start_date;end_date;language
1;2019-12-17T05:11:44;2019-12-17T00:10:07;SPANISH
2;2019-12-17T04:23:17;2019-12-16T20:26:01;SPANISH
3;2019-12-16T16:48:50;2019-12-16T20:08:48;FRENCH
4;2019-12-17T10:26:57;2019-12-16T18:51:50;ENGLISH
5;2019-12-17T03:35:42;2019-12-16T14:31:46;ENGLISH
6;2019-12-16T20:49:22;2019-12-17T07:45:55;ENGLISH
7;2019-12-16T19:38:13;2019-12-16T18:05:02;ENGLISH
8;2019-12-16T20:23:15;2019-12-16T20:49:25;SPANISH
9;2019-12-16T17:32:54;2019-12-17T02:37:25;ENGLISH
10;2019-12-17T03:49:50;2019-12-16T20:03:06;FRENCH
