id;g_id;c_pt;w_snam;d_escription;e_ndpoint;w_sdl;u_sername;p_assword;t_imeout
1;36636;Common;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;Planner cross-platform access;Public-key;infomediaries;Investment Account
2;83319;Salad;Digitized invoice;convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza
3;38867;interactive generating compelling;Home Loan Account;Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic
4;37081;Lempira;pixel withdrawal;Mississippi embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships
5;75555;User-centric;Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;withdrawal
6;52;cutting-edge ability Hat;supply-chains magenta;encompassing;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers
7;60956;Berkshire Small Plastic Pants Investor;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical
8;15071;Bedfordshire;Refined Rubber Gloves Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented
9;9310;Customer Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;Ports Manager Fish
10;1807;Bedfordshire;navigate;program alarm;Nevada;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders
